"Species","Sex","Pop","Ages","lx","px","qx","Lx","Tx","ex"
"Loxodonta africana","Female","Amboseli",41,0.420735976284534,0.858047657428287,0.141952342571713,0.3952611980928,4.65653039244973,11.0675831279535
"Loxodonta africana","Female","Amboseli",42,0.361011518846747,0.942675159235669,0.0573248407643311,0.353630327920008,4.26126919435693,11.8036931563003
"Loxodonta africana","Female","Amboseli",43,0.340316591014768,0.939237109449875,0.0607628905501246,0.329091054566992,3.90763886643692,11.4823636860753
"Loxodonta africana","Female","Amboseli",44,0.319637971242546,0.956887823074874,0.0431121769251265,0.31503879986616,3.57854781186993,11.1956279723552
"Loxodonta africana","Female","Amboseli",45,0.305857682474349,0.954887218045113,0.0451127819548872,0.298245735639837,3.26350901200377,10.6700246519963
"Loxodonta africana","Female","Amboseli",46,0.292059591535657,0.929133858267717,0.0708661417322834,0.278859417870975,2.96526327636393,10.1529392024843
"Loxodonta africana","Female","Amboseli",47,0.271362455127618,1,0,0.271362455127618,2.68640385849296,9.89968880267381
"Loxodonta africana","Female","Amboseli",48,0.271362455127618,0.991525423728814,0.00847457627118642,0.271362455127618,2.41504140336534,8.89968880267381
"Loxodonta africana","Female","Amboseli",49,0.269062773304503,0.948717948717949,0.0512820512820512,0.261749785106996,2.14367894823772,7.96720751038897
"Loxodonta africana","Female","Amboseli",50,0.25526468236581,0.874037979346342,0.125962020653658,0.236891165113061,1.88192916313072,7.37246197041
"Loxodonta africana","Female","Amboseli",51,0.223111027173499,0.917634189333558,0.0823658106664423,0.211993111197329,1.64503799801766,7.37318105186449
"Loxodonta africana","Female","Amboseli",52,0.204734306551731,1,0,0.204734306551731,1.43304488682033,6.99953471871233
"Loxodonta africana","Female","Amboseli",53,0.204734306551731,0.831460674157303,0.168539325842697,0.189850812581061,1.2283105802686,5.99953471871233
"Loxodonta africana","Female","Amboseli",54,0.17022852454863,0.824324324324325,0.175675675675675,0.156771269567421,1.03845976768754,6.10038635088375
"Loxodonta africana","Female","Amboseli",55,0.140323513479276,1,0,0.140323513479276,0.881688498120121,6.28325557320323
"Loxodonta africana","Female","Amboseli",56,0.140323513479276,0.967213114754098,0.0327868852459018,0.135814757964204,0.741364984640845,5.28325557320323
"Loxodonta africana","Female","Amboseli",57,0.135722742545529,0.796610169491525,0.203389830508475,0.118745897800003,0.605550226676641,4.46167101636267
"Loxodonta africana","Female","Amboseli",58,0.108118116943049,0.787234042553191,0.212765957446809,0.0950519274912079,0.486804328876638,4.50252319075314
"Loxodonta africana","Female","Amboseli",59,0.085114262274315,1,0,0.085114262274315,0.39175240138543,4.6026645936594
"Loxodonta africana","Female","Amboseli",60,0.085114262274315,1,0,0.085114262274315,0.306638139111115,3.6026645936594
"Loxodonta africana","Female","Amboseli",61,0.085114262274315,0.866367015804732,0.133632984195268,0.0740434980187605,0.2215238768368,2.6026645936594
"Loxodonta africana","Female","Amboseli",62,0.0737401894090196,1,0,0.0737401894090196,0.147480378818039,2
"Loxodonta africana","Female","Amboseli",63,0.0737401894090196,0,1,0.0737401894090196,0.0737401894090196,1
"Loxodonta africana","Female","Samburu",0,1,0.944279478465821,0.0557205215341794,0.97213973923291,21.3221717153229,21.3221717153229
"Loxodonta africana","Female","Samburu",1,0.944279478465821,0.942180287889001,0.0578197121109988,0.916650631946312,20.35003197609,21.5508569657289
"Loxodonta africana","Female","Samburu",2,0.889681510868603,0.913084135675464,0.0869158643245357,0.851225537477704,19.4333813441436,21.8430765467641
"Loxodonta africana","Female","Samburu",3,0.8123540733779,0.932790896141407,0.0672091038585932,0.784952908254182,18.5821558066659,22.874453905793
"Loxodonta africana","Female","Samburu",4,0.757756484090293,0.957962536444606,0.0420374635553938,0.73918221321194,17.7972028984118,23.4867048610977
"Loxodonta africana","Female","Samburu",5,0.725902323506484,0.9827610811354,0.0172389188646003,0.718189289948939,17.0580206851998,23.4990578385268
"Loxodonta africana","Female","Samburu",6,0.713388552247931,0.984053604933573,0.0159463950664274,0.708292115138805,16.3398313952509,22.904532661427
"Loxodonta africana","Female","Samburu",7,0.702012576557919,0.995137763371151,0.00486223662884933,0.699748386886362,15.6315392801121,22.2667510555951
"Loxodonta africana","Female","Samburu",8,0.698599225294266,1,0,0.698599225294266,14.9317908932257,21.3739013050524
"Loxodonta africana","Female","Samburu",9,0.698599225294266,0.993485342019544,0.00651465798045592,0.695276896730977,14.2331916679315,20.3739013050524
"Loxodonta africana","Female","Samburu",10,0.694048090276062,0.975412466053268,0.0245875339467319,0.68680118291975,13.5379147712005,19.5057301660692
